experiment,dataset,model,seed,accuracy,macro_f1,binary_f1,auc_roc,precision,recall,cfr,ctfg,fped,fned,per_group_f1_std
dynahate_bert-base-uncased_llmclp_s42_llm_metrics,dynahate,bert-base-uncased,42,0.7660194174757281,0.7621723438522465,0.7924203273040482,0.8492842001211331,0.7744107744107744,0.8112874779541446,0.10937309055358671,0.0629973691742133,0.0,31.961930722539208,
dynahate_bert-base-uncased_llmclp_s123_llm_metrics,dynahate,bert-base-uncased,123,0.7737864077669903,0.771947141796585,0.7924276169265033,0.8523558591503155,0.8006300630063007,0.7843915343915344,0.10766222656727362,0.07369310851649886,0.0,34.92095556693572,
dynahate_bert-base-uncased_llmclp_s2024_llm_metrics,dynahate,bert-base-uncased,2024,0.7759708737864077,0.7729786466464538,0.7990420204659264,0.8553993061507461,0.789247311827957,0.8090828924162258,0.11022852254674324,0.06600782088229741,0.0,32.187460161657214,
dynahate_llmclp_s42_0519_0941_llm_metrics,dynahate,deberta-v3-base,42,0.8575242718446602,0.85666498287553,0.8677630096868664,0.9343587036846575,0.8871487793643482,0.8492063492063492,0.12599291213491384,0.10877167516338264,0.0,28.866937701466824,
dynahate_llmclp_s123_0519_1003_llm_metrics,dynahate,deberta-v3-base,123,0.8521844660194174,0.8504869506799647,0.8664180741390656,0.921943268348056,0.8620689655172413,0.8708112874779541,0.1338140046437737,0.12580010788586057,0.0,27.66488233848939,
dynahate_llmclp_s2024_0519_1037_llm_metrics,dynahate,deberta-v3-base,2024,0.8553398058252427,0.8541636228656273,0.867260579064588,0.9353711226911371,0.8762376237623762,0.8584656084656085,0.12953684467799095,0.11234730012899181,0.0,25.762488352111035,
dynahate_roberta-base_llmclp_s42_llm_metrics,dynahate,roberta-base,42,0.8048543689320389,0.8025404214864977,0.823915900131406,0.8814844812415006,0.8185378590078329,0.8293650793650794,0.09727483807894416,0.06954901801181185,0.0,30.63654905505368,
dynahate_roberta-base_llmclp_s123_llm_metrics,dynahate,roberta-base,123,0.8118932038834952,0.8097329832134199,0.8300065803904365,0.8858544887837545,0.8258402444347447,0.8342151675485009,0.10179640718562874,0.06904778190910431,0.0,29.713438401761625,
dynahate_roberta-base_llmclp_s2024_llm_metrics,dynahate,roberta-base,2024,0.8055825242718446,0.8037789025396329,0.8225913621262458,0.8821028841502204,0.8264352469959947,0.8187830687830688,0.10240743003788341,0.06657588176614102,0.0,30.36121029883016,
hatexplain_bert-base-uncased_llmclp_s42_llm_metrics,hatexplain,bert-base-uncased,42,0.7666320166320166,0.7554736891267827,0.8077087794432548,0.8367756795857763,0.7904442581726739,0.8257443082311734,0.11421850496602196,0.08373450855464054,0.7297291610419937,0.5653302219542259,0.06898369132391298
hatexplain_bert-base-uncased_llmclp_s123_llm_metrics,hatexplain,bert-base-uncased,123,0.7780665280665281,0.7666819741612898,0.8182205193699447,0.8465803476648407,0.796188898094449,0.841506129597198,0.10899111343439624,0.06803501825399942,0.5022744355979127,0.5238359956281895,0.015177389975089148
hatexplain_bert-base-uncased_llmclp_s2024_llm_metrics,hatexplain,bert-base-uncased,2024,0.7739085239085239,0.7665761631239201,0.8079470198675497,0.8502386220611751,0.8147818343722173,0.8012259194395797,0.1113434396236278,0.06886572976413115,0.5845203584115469,0.6242207258348875,0.019077928333577666
hatexplain_llmclp_s42_0523_1959_llm_metrics,hatexplain,deberta-v3-base,42,0.8066528066528067,0.7992277992277992,0.8378378378378378,0.8812561307169635,0.8342013888888888,0.841506129597198,0.25744903293256666,0.2452614494513049,0.8703326134532565,0.4589273596306719,0.04648935099700398
hatexplain_llmclp_s123_0522_0844_llm_metrics,hatexplain,deberta-v3-base,123,0.8035343035343036,0.7976535477236608,0.8321492007104796,0.8842363870089268,0.8441441441441442,0.8204903677758318,0.28515420805018293,0.2536047190443359,1.1744430076097954,0.5429574049805816,0.1425723014923498
hatexplain_llmclp_s2024_0522_0853_llm_metrics,hatexplain,deberta-v3-base,2024,0.7957380457380457,0.7884547216860684,0.8277071459886015,0.8831423759635583,0.8287971905179983,0.8266199649737302,0.2692106638787245,0.23580446474130473,0.9218828480803642,0.5133669398689569,0.07451821404163353
hatexplain_roberta-base_llmclp_s42_llm_metrics,hatexplain,roberta-base,42,0.7817047817047817,0.7773194785382582,0.8085688240656336,0.8598624479868853,0.8431558935361216,0.776707530647986,0.1301620491374804,0.06360116177732665,0.9464382552200409,0.6830814410778671,0.027173191471378456
hatexplain_roberta-base_llmclp_s123_llm_metrics,hatexplain,roberta-base,123,0.7879417879417879,0.7779567970238552,0.8250428816466552,0.8585069716609708,0.8084033613445378,0.8423817863397548,0.12624150548876112,0.08014839956263285,1.0607373407195997,0.4971629007601197,0.0800631265557924
hatexplain_roberta-base_llmclp_s2024_llm_metrics,hatexplain,roberta-base,2024,0.7905405405405406,0.7809291887504178,0.8268156424581006,0.8598232561889447,0.8118143459915612,0.8423817863397548,0.1097752221641401,0.0805789445810725,0.6382403620428458,0.42161636511253286,0.034953634630353024
toxigen_bert-base-uncased_llmclp_s42_llm_metrics,toxigen,bert-base-uncased,42,0.8404017857142857,0.8339207271152981,0.8011126564673157,0.9109389107773126,0.829971181556196,0.7741935483870968,0.04401805869074492,0.03599198554005499,0.762945605390229,0.7384081552588228,0.055149808128633876
